text_clean,text_preprocessed
mari kita bandingkan surabaya dgn palembang atau gorontalo gk ush bicara vaksin dl kita bahas t yg dilakukan pemda setempat brp banyak testing dan tracing yg dilakukan  kota tsb dlm sehari treatment brp bor yg  kota tsb siapkan utk pasien covid blm klo kt bhs disiplin,"['mari', 'banding', 'surabaya', 'dgn', 'palembang', 'gorontalo', 'gk', 'ush', 'bicara', 'vaksin', 'dl', 'bahas', 't', 'yg', 'pemda', 'brp', 'testing', 'tracing', 'yg', 'kota', 'tsb', 'dlm', 'hari', 'treatment', 'brp', 'bor', 'yg', 'kota', 'tsb', 'siap', 'utk', 'pasien', 'covid', 'blm', 'klo', 'kt', 'bhs', 'disiplin']"
penerbangan masa covid  surabaya ke batam  via,"['terbang', 'covid', 'surabaya', 'batam', 'via']"
flight during covid fromlombok to medan via surabaya    via,"['flight', 'during', 'covid', 'fromlombok', 'to', 'medan', 'via', 'surabaya', 'via']"
pagii😍 mitra mtb🤩🥳 pemkot surabaya punya cara yang lebih soft untuk warga yang ingin mendapatkan pelayanan cepat untuk mendeteksi dini covid bisa menghubungi command center  nantinya ada petugas yang datang kerumah untuk melakukan tes usap dan tanpa menggunakan apd,"['pagi', 'mitra', 'mtb', 'pemkot', 'surabaya', 'soft', 'warga', 'layan', 'cepat', 'deteksi', 'covid', 'hubung', 'command', 'center', 'tugas', 'rumah', 'tes', 'usap', 'apd']"
yes surabaya bandung dan jakarta adalah  daerah yang levelnya diturunkan dari level  ke level   alhamdulillahsemoga bertambah terus yang levelnya turun 😊   emang kalo level  itu yang gemana sih ya berdasarkan catatan kasus positif dan kematian akibat covid,"['yes', 'surabaya', 'bandung', 'jakarta', 'daerah', 'level', 'turun', 'level', 'level', 'alhamdulillahsemoga', 'tambah', 'level', 'turun', '', 'emang', 'kalo', 'level', 'gana', 'sih', 'ya', 'dasar', 'catat', 'positif', 'mati', 'akibat', 'covid']"
pada perpanjangan ppkm kali ini puanesia  ada beberapa daerah untuk pulau jawa dan bali yakni wilayah aglomerasi seperti jabodetabek bandung raya surabaya raya dturunkan jd lv  walau begitu ketua dpr   mengingatkan masih tingginya angka kematian karena covid,"['panjang', 'ppkm', 'kali', 'puanesia', 'daerah', 'pulau', 'jawa', 'bal', 'wilayah', 'aglomerasi', 'jabodetabek', 'bandung', 'raya', 'surabaya', 'raya', 'dturunkan', 'jd', 'lv', 'ketua', 'dpr', 'tinggi', 'angka', 'mati', 'covid']"
saat ini pemkot surabaya masih melakukan pendataan terhadap keluarga yang meninggal karena covid ada sekitar  keluarga dan baru terverifikasi oleh dpa sekitar  keluarga,"['pemkot', 'surabaya', 'data', 'keluarga', 'tinggal', 'covid', 'keluarga', 'verifikasi', 'dpa', 'keluarga']"
semua pihak sdh tunjukkan bukti gotongroyong di masa pandemi ada relawan surabaya memanggil sinergi kalangan pengusaha amp  masyarakat bahumembahu berikan bantuan utk percepatan penanganan covid di sby  kita teguhkan semangat gotongroyong ayo kita tunjukkan iki lho suroboyo,"['sdh', 'tunjuk', 'bukti', 'gotongroyong', 'pandemi', 'rawan', 'surabaya', 'panggil', 'sinergi', 'kalang', 'usaha', 'amp', 'masyarakat', 'bahumembahu', 'bantu', 'utk', 'cepat', 'tangan', 'covid', 'sby', 'teguh', 'semangat', 'gotongroyong', 'ayo', 'tunjuk', 'iki', 'lho', 'suroboyo']"
pemkot surabaya memprioritaskan difabel untuk di vaksin covid,"['pemkot', 'surabaya', 'prioritas', 'difabel', 'vaksin', 'covid']"
info covid  halo industrialers kami dari departemen pengabdian masyarakat hmti upnvjt telah berhasil menghimpun beberapa informasi mengenai persediaan kamar inap di rs dan tempat pengisian ulang tabung oksigen di daerah surabaya sidoarjo gresik per tanggal  agustus,"['info', 'covid', 'halo', 'industrialers', 'departemen', 'abdi', 'masyarakat', 'hmti', 'upnvjt', 'hasil', 'himpun', 'informasi', 'sedia', 'kamar', 'inap', 'rs', 'isi', 'ulang', 'tabung', 'oksigen', 'daerah', 'surabaya', 'sidoarjo', 'gresik', 'tanggal', 'agustus']"
late post guys   thx buat warga kota surabaya yang sudah bergotong royong agar bersama kita bisa keluar dari krisis covid hingga surabaya jadi orange …      perjuangan perjuangan sby,"['late', 'post', 'guys', 'thx', 'warga', 'kota', 'surabaya', 'gotong', 'royong', 'krisis', 'covid', 'surabaya', 'orange', '', 'juang', 'juang', 'sby']"
media briefing survei warga  “akses dan layanan kesehatan di  kabupaten dan kota di era pandemi covid semarang padang malang surabaya makassar dan kabtangerang telah dibuka mari bergabung melalui,"['media', 'briefing', 'survei', 'warga', '', 'akses', 'layan', 'sehat', 'kabupaten', 'kota', 'era', 'pandemi', 'covid', 'semarang', 'padang', 'malang', 'surabaya', 'makassar', 'kabtangerang', 'buka', 'mari', 'gabung']"
mohon info vaksin ke  covid di surabaya min,"['mohon', 'info', 'vaksin', 'covid', 'surabaya', 'min']"
mohon info untuk vaksin ke  covid di surabaya min,"['mohon', 'info', 'vaksin', 'covid', 'surabaya', 'min']"
wownet ikut menjawab dan merespon panggilan walikota surabaya   yang didengungkan melalui gerakan surabaya memanggil dengan bersamasama memberikan bantuan penanganan covid di kota surabaya  credit song bendera  cokelat,"['wownet', 'merespon', 'panggil', 'walikota', 'surabaya', 'dengung', 'gera', 'surabaya', 'panggil', 'bersamasama', 'bantu', 'tangan', 'covid', 'kota', 'surabaya', 'credit', 'song', 'bendera', 'cokelat']"
bantuan dari berbagai pihak kembali datang untuk surabaya kali ini datang dari informa dan integra group harapannya dengan bantuan ini bisa membantu surabaya menangani pandemi covid  dengan begitu pandemi bisa segera diputus penyebarannya dan ekonomi bisa berlanjut,"['bantu', 'surabaya', 'kali', 'informa', 'integra', 'group', 'harap', 'bantu', 'bantu', 'surabaya', 'tangan', 'pandemi', 'covid', 'pandemi', 'putus', 'sebar', 'ekonomi', 'lanjut']"
suara surabaya dalam kasus covid ini sudah jadi corong pemerintah,"['suara', 'surabaya', 'covid', 'corong', 'perintah']"
fountain dulu pernah pas smp belum corona diajarin ngelinting rokok sama tetangga budeh di surabaya dan biasa aja ga terlalu menarik hihi bagiku   walaupun sebenarnya bisa menghasilkan uang banyak,"['fountain', 'pas', 'smp', 'corona', 'diajarin', 'ngelinting', 'rokok', 'tetangga', 'budeh', 'surabaya', 'aja', 'ga', 'tarik', 'hihi', 'bagi', 'hasil', 'uang']"
toples plastik corona sealware twn untuk tempat krupuk snack ada toples  liter  liter  liter  liter ada banyak jenis toples plastik lainnya  selatan jaya jl songoyudan b surabaya  wa,"['toples', 'plastik', 'corona', 'sealware', 'twn', 'krupuk', 'snack', 'toples', 'liter', 'liter', 'liter', 'liter', 'jenis', 'toples', 'plastik', 'selatan', 'jaya', 'jl', 'songoyudan', 'b', 'surabaya', 'wa']"
wts webcam  • masi mulus gais kepake skali doang • alasan dijual soalnya dl cuma fomo pas jaman corona org pda pake webcam jd ikutan beli awoakwk tp lama mager malah pas kls sering offcam 😃   k aj gais dh turun dri harga awal aku beli 🙏🏻,"['wts', 'webcam', '', 'mas', 'mulus', 'gais', 'kepake', 'skali', 'doang', '', 'alas', 'jual', 'dl', 'fomo', 'pas', 'jaman', 'corona', 'org', 'pda', 'pake', 'webcam', 'jd', 'ikut', 'beli', 'awoakwk', 'tp', 'mager', 'pas', 'kls', 'offcam', '', 'k', 'aj', 'gais', 'dh', 'turun', 'dri', 'harga', 'beli', '']"
penampilan acara dari bank syariah indonesia x putri ariani cfd   mc bahrul alam dan tiara sadikin  moderator surabaya larasati   band opening el corona gambus   acaranya pasti sangat meriah,"['tampil', 'acara', 'bank', 'syariah', 'indonesia', 'x', 'putri', 'ariani', 'cfd', 'mc', 'bahrul', 'alam', 'tiara', 'sadikin', 'moderator', 'surabaya', 'larasati', 'band', 'opening', 'el', 'corona', 'gambus', 'acara', 'riah']"
pengen merantau ke surabaya atau gresik tpi disana ga ada beckingan sama sekali ya allah temen²ku di bekasi semua tpi bekasi nyari kerja jalur murninya dipertanyakan 🙂 kalah ama calo 😌 gini amat habis corona,"['ken', 'rantau', 'surabaya', 'gresik', 'tpi', 'sana', 'ga', 'beckingan', 'ya', 'allah', 'temen ku', 'bekas', 'tpi', 'bekas', 'nyari', 'kerja', 'jalur', 'murni', '', 'kalah', 'ama', 'calo', '', 'gin', 'habis', 'corona']"
sebelum covid menyerang surabayasolo  bisa kl jadi  bis²an mangkat mulih cukup  😁 corona datang tarif naik ditambah solar naik kl sementara tidak berlaku,"['covid', 'serang', 'surabayasolo', 'kl', 'bis an', 'mangkat', 'mulih', '', 'corona', 'tarif', 'tambah', 'solar', 'kl', 'laku']"
info bassura corona masih mengintai pegawai bapas surabaya gelar tes pcr,"['info', 'bassura', 'corona', 'intai', 'pegawai', 'bapas', 'surabaya', 'gelar', 'tes', 'pcr']"
